net,length_um
_3052_,27.1
_1497_,27.08
_2790_,27.06
_1915_,27.05
_1288_,27.04
_1112_,27.02
_1911_,27
_2255_,27
_1958_,26.98
_1998_,26.98
s2\[8\],26.98
_3670_,26.96
_3683_,26.94
s3\[6\],26.9
net333,26.88
_2111_,26.86
_2673_,26.86
_2082_,26.84
_3672_,26.84
_1663_,26.825
_2809_,26.82
_3155_,26.74
_3593_,26.72
sum2\[10\],26.72
_2150_,26.7
carry2\[8\],26.7
_3088_,26.68
_3414_,26.68
_4022_,26.68
_1850_,26.6
_2697_,26.6
_1616_,26.58
sh1\[6\],26.56
_3253_,26.53
_1065_,26.52
_3618_,26.52
_2283_,26.48
_0725_,26.46
_2787_,26.46
_1015_,26.44
_2852_,26.42
_0953_,26.4
_1287_,26.38
_1174_,26.36
_1734_,26.36
_2374_,26.36
_3106_,26.36
_3312_,26.36
_1554_,26.3
_0821_,26.28
_3404_,26.28
net205,26.28
_1539_,26.24
_2349_,26.24
_3412_,26.22
_3860_,26.2
_1954_,26.16
_2137_,26.16
_3996_,26.16
net336,26.145
_3121_,26.14
carry4\[12\],26.14
_3036_,26.12
_3688_,26.12
_3924_,26.12
_0803_,26.1
_1988_,26.08
carry3\[8\],26.005
_0952_,25.98
_2757_,25.98
_3328_,25.98
s3\[8\],25.98
_1701_,25.96
_3591_,25.94
_2523_,25.92
_3214_,25.92
_2847_,25.9
_1407_,25.86
_1350_,25.84
_3512_,25.84
_3827_,25.84
_1017_,25.82
_1921_,25.82
_2544_,25.78
_1550_,25.76
_1669_,25.76
_2289_,25.76
_3723_,25.76
_1533_,25.755
_1916_,25.72
_3508_,25.68
_1230_,25.665
_1564_,25.66
sum5\[11\],25.66
_3332_,25.64
_2014_,25.625
_1966_,25.62
_2382_,25.6
_3966_,25.6
sum3\[13\],25.6
_2400_,25.56
_2587_,25.56
_3869_,25.55
_1114_,25.54
_2271_,25.54
_2337_,25.52
_4071_,25.52
_3713_,25.5
_2350_,25.485
_1838_,25.42
net159,25.405
_2118_,25.4
_0813_,25.38
_1486_,25.38
_1492_,25.35
_0982_,25.34
_1500_,25.34
_3423_,25.285
_0901_,25.28
s4\[7\],25.24
_0069_,25.22
_3518_,25.22
_3982_,25.22
sum2\[11\],25.22
_3112_,25.2
_3856_,25.2
sum5\[10\],25.2
_2515_,25.18
carry5\[12\],25.18
_3459_,25.16
_3812_,25.16
_0763_,25.15
sum2\[5\],25.1
_2578_,25.02
clknet_leaf_1_clk,25.02
_3194_,25
_1577_,24.98
_3145_,24.98
_3446_,24.98
_3218_,24.96
_1839_,24.92
net341,24.92
_1974_,24.9
_1385_,24.86
_1368_,24.84
_0966_,24.82
_3502_,24.82
_3743_,24.81
_2954_,24.8
_3058_,24.8
_3317_,24.785
_1104_,24.78
net396,24.76
_1750_,24.72
_4009_,24.7
_1475_,24.66
_2003_,24.66
_2313_,24.64
_3925_,24.64
sum1\[6\],24.64
_3382_,24.62
_4005_,24.62
_3774_,24.6
_3985_,24.6
_3105_,24.56
_1498_,24.54
_1784_,24.5
_0785_,24.49
_2605_,24.44
_1000_,24.42
_2525_,24.41
_1400_,24.38
_3431_,24.38
_2924_,24.36
_3778_,24.34
_3734_,24.305
carry3\[7\],24.3
_1388_,24.26
_2164_,24.26
_2438_,24.24
_0874_,24.22
_2788_,24.22
_3144_,24.22
_3199_,24.22
_2383_,24.205
_0929_,24.2
_1551_,24.17
_1463_,24.125
_3920_,24.12
_2272_,24.1
_3537_,24.08
_2195_,24.04
_2319_,24.02
_3411_,24
_3656_,24
_3808_,24
_1504_,23.98
_2394_,23.98
_2722_,23.96
bit_sum7\[8\],23.96
_3233_,23.94
_0976_,23.92
_2175_,23.92
_2168_,23.9
sh7\[7\],23.9
_3190_,23.88
net128,23.88
_1458_,23.86
net207,23.86
_1818_,23.82
_4043_,23.82
_3369_,23.8
carry2\[7\],23.78
_0900_,23.76
_1228_,23.76
final_sum\[5\],23.76
_1072_,23.74
_2379_,23.74
sum1\[10\],23.72
sh11\[1\],23.7
_4040_,23.69
_1704_,23.68
_2045_,23.68
_4092_,23.66
_1152_,23.64
_2109_,23.64
_3038_,23.64
_0887_,23.62
_1961_,23.62
_2786_,23.62
clknet_leaf_12_clk,23.62
sh0\[0\],23.54
_1683_,23.52
_2363_,23.52
_1314_,23.5
_2097_,23.5
_4033_,23.5
_2669_,23.48
_1441_,23.47
_2373_,23.46
_3041_,23.46
_2530_,23.44
_3057_,23.44
_2563_,23.4
carry1\[10\],23.4
_1851_,23.385
_2798_,23.38
_3419_,23.36
_3691_,23.36
_0919_,23.32
_1446_,23.3
_4062_,23.3
sh10\[4\],23.29
_3870_,23.28
_2365_,23.24
_3911_,23.24
_1980_,23.22
_2105_,23.22
_2721_,23.2
_2816_,23.2
_2151_,23.18
_2623_,23.18
sum3\[10\],23.16
_1002_,23.15
_3151_,23.145
sum3\[5\],23.14
_3210_,23.12
net263,23.12
_1051_,23.1
_2270_,23.1
_3004_,23.1
s1\[6\],23.1
_2644_,23.08
_2166_,23.06
_1180_,23.04
_3129_,23
_1556_,22.98
_2834_,22.97
_0984_,22.94
_2087_,22.92
_3228_,22.92
net217,22.92
_0876_,22.9
_3736_,22.9
_0034_,22.86
_0081_,22.84
_1654_,22.84
_3790_,22.84
_1852_,22.82
_3202_,22.82
_2592_,22.8
_4020_,22.8
_1614_,22.78
_0033_,22.74
_3522_,22.74
_1835_,22.725
_3019_,22.72
net364,22.72
net222,22.7
_1316_,22.68
_2519_,22.68
_2942_,22.68
_3072_,22.68
carry4\[10\],22.68
sh1\[7\],22.66
_3940_,22.64
_2709_,22.62
_2799_,22.62
_3581_,22.62
sum1\[5\],22.62
_2509_,22.6
_2795_,22.6
net268,22.58
_1428_,22.56
_3555_,22.56
net178,22.54
_2622_,22.535
_2411_,22.52
_2793_,22.505
_1439_,22.5
_1906_,22.495
_2080_,22.48
_2139_,22.48
_3153_,22.48
_1733_,22.46
_2554_,22.455
sh2\[1\],22.455
_3443_,22.44
_1318_,22.4
_1089_,22.38
_1322_,22.38
_1848_,22.38
_1965_,22.36
_3839_,22.36
_1083_,22.34
_1273_,22.34
_1870_,22.34
_1201_,22.315
_0032_,22.3
_1127_,22.3
_1589_,22.28
_1975_,22.28
_4067_,22.28
_3304_,22.26
_0910_,22.24
_1513_,22.22
_3939_,22.22
_0816_,22.21
_3649_,22.2
_4028_,22.2
_4079_,22.18
_2388_,22.14
_2407_,22.12
final_sum\[10\],22.12
_3180_,22.11
_4052_,22.08
_1438_,22.06
_2739_,22.06
_2368_,22.04
_4075_,22.04
_3116_,22.02
_3405_,22.02
_1221_,22
_2448_,22
_2842_,22
bit_sum2\[8\],22
_1184_,21.98
_2464_,21.94
_0172_,21.92
_2714_,21.92
_3003_,21.92
_3800_,21.92
_1105_,21.9
_1249_,21.88
_0423_,21.87
_1523_,21.87
_2527_,21.86
_4026_,21.84
_0727_,21.82
_0804_,21.82
_3954_,21.8
_4084_,21.8
_3477_,21.78
_2601_,21.77
_1019_,21.76
_1969_,21.76
_2049_,21.76
_0963_,21.72
_2667_,21.72
_2981_,21.71
_1576_,21.7
sum1\[8\],21.7
_0125_,21.68
_4017_,21.68
sum2\[3\],21.66
_1570_,21.64
_3316_,21.64
_3788_,21.62
_3871_,21.62
_2207_,21.6
_2654_,21.58
_2750_,21.54
_3168_,21.54
_3394_,21.54
_3657_,21.54
_2708_,21.53
_2774_,21.48
_3205_,21.48
_1987_,21.46
_2108_,21.46
_1937_,21.42
_2535_,21.4
_2277_,21.38
_1757_,21.36
_3733_,21.32
_3951_,21.3
bit_sum5\[9\],21.28
net328,21.28
_0885_,21.24
_3062_,21.235
_2353_,21.2
_3409_,21.2
_0856_,21.18
_1011_,21.16
_1541_,21.155
_2520_,21.13
_2409_,21.1
_3196_,21.08
_3130_,21.02
_1102_,21
_1630_,21
_3722_,21
_2826_,20.98
_1209_,20.96
net27,20.96
_0912_,20.92
_3236_,20.92
s3\[10\],20.92
sh6\[7\],20.92
_2736_,20.9
_2065_,20.88
net253,20.88
_1672_,20.84
_2180_,20.84
_2458_,20.84
_3045_,20.84
_3527_,20.82
_3108_,20.8
carry5\[11\],20.78
_2223_,20.76
_2929_,20.76
_0767_,20.74
_3139_,20.72
_2971_,20.7
_1451_,20.68
_3456_,20.68
_3835_,20.68
_2133_,20.66
_2801_,20.66
_1052_,20.64
_2404_,20.64
_2951_,20.64
_0093_,20.62
_1749_,20.62
_2784_,20.6
_2113_,20.59
_3849_,20.59
_1534_,20.58
_3602_,20.58
sum3\[11\],20.58
_3874_,20.56
_1730_,20.54
_3091_,20.54
_1836_,20.52
_1531_,20.5
_2083_,20.5
_3605_,20.5
_3675_,20.5
_2849_,20.46
_3831_,20.46
net434,20.46
_2229_,20.44
_2429_,20.44
_2811_,20.42
_3876_,20.42
_2132_,20.4
_0828_,20.38
_1548_,20.38
_2386_,20.38
_3540_,20.38
_4072_,20.38
_0890_,20.36
_2212_,20.36
_4011_,20.36
s5\[9\],20.36
_3142_,20.34
_1942_,20.335
_3855_,20.335
_0185_,20.32
sum3\[6\],20.32
_3220_,20.3
_1360_,20.28
_1684_,20.28
_0001_,20.26
_1302_,20.26
_1506_,20.26
_1868_,20.26
_3157_,20.26
_3331_,20.255
x[2],20.25
x[3],20.25
x[4],20.25
x[6],20.25
_2190_,20.245
_1936_,20.24
_2603_,20.22
_1232_,20.2
_1514_,20.2
_2626_,20.2
_1742_,20.18
_2274_,20.18
_2844_,20.16
_3016_,20.16
_1520_,20.14
carry1\[5\],20.14
_3427_,20.12
_2797_,20.1
_1070_,20.06
_1192_,20.06
_1453_,20.06
_2921_,20.06
_3631_,20.06
carry4\[8\],20.06
_1507_,20.04
_1110_,20.02
_1983_,20.02
_2135_,20.02
_4063_,20.02
_2312_,20
_3767_,20
_1409_,19.96
_2829_,19.96
_2950_,19.96
_2361_,19.94
_3936_,19.94
_2838_,19.92
_4035_,19.92
net379,19.92
_3859_,19.915
_0132_,19.88
_0808_,19.88
_2962_,19.88
_3021_,19.88
_3343_,19.88
_3498_,19.88
carry4\[13\],19.88
_1046_,19.86
_3030_,19.86
_3245_,19.86
bit_sum2\[7\],19.86
_0858_,19.84
_2880_,19.84
_0875_,19.82
_3136_,19.82
_3392_,19.82
sum1\[3\],19.82
_0047_,19.8
_2301_,19.8
_1119_,19.76
_3650_,19.72
_3782_,19.7
_3969_,19.7
_1929_,19.66
_3777_,19.66
sh2\[2\],19.655
_0827_,19.64
_3028_,19.635
_3085_,19.63
bit_sum6\[8\],19.6
_1005_,19.58
_2577_,19.58
net357,19.58
_1738_,19.56
s5\[10\],19.56
net155,19.56
_2905_,19.55
bit_sum6\[2\],19.54
_1727_,19.52
_3906_,19.52
_2016_,19.48
_1280_,19.46
x[0],19.45
_0843_,19.44
_3063_,19.44
sh1\[4\],19.44
_2389_,19.425
_2933_,19.42
net264,19.4
_3601_,19.39
_3510_,19.38
_3947_,19.38
carry2\[6\],19.36
_1468_,19.34
_2559_,19.34
x[1],19.33
x[5],19.33
_1471_,19.3
_1586_,19.3
_3551_,19.3
_2692_,19.28
_3577_,19.28
_3757_,19.28
_1525_,19.26
_2591_,19.26
_3635_,19.26
_1968_,19.24
_2182_,19.24
_2598_,19.24
_2822_,19.24
_3321_,19.24
sum1\[4\],19.24
_2831_,19.22
_1343_,19.2
_1588_,19.2
_3216_,19.18
_0877_,19.16
_1010_,19.16
_1376_,19.14
_3654_,19.14
_3661_,19.12
_3428_,19.1
bit_sum2\[9\],19.1
net73,19.1
_1311_,19.08
_2346_,19.06
_3469_,19.06
_2050_,19.05
_0886_,19.04
_1607_,19.04
net280,19.04
_1057_,19.015
_1080_,19
_1479_,19
_3206_,19
_1505_,18.99
sum4\[10\],18.98
_2074_,18.96
_2510_,18.96
_2555_,18.96
_2231_,18.94
_3397_,18.94
_3848_,18.92
_2188_,18.9
sum1\[9\],18.9
net427,18.9
_0790_,18.88
_2226_,18.88
_3123_,18.865
_0805_,18.86
_1568_,18.86
sum3\[7\],18.86
net173,18.86
_0128_,18.8
_2457_,18.78
_2892_,18.78
_2996_,18.78
_3239_,18.78
_0857_,18.76
_2856_,18.76
_3436_,18.76
_1934_,18.75
_0869_,18.74
_1547_,18.74
_3843_,18.74
_2194_,18.7
sh5\[0\],18.7
net98,18.68
_0969_,18.66
_2027_,18.66
_2322_,18.66
_2841_,18.66
_4066_,18.66
sh3\[4\],18.66
_1509_,18.64
_2008_,18.64
_2177_,18.6
_2761_,18.6
net243,18.6
_1527_,18.58
_0906_,18.56
_1064_,18.56
_1845_,18.56
_3169_,18.56
_3480_,18.54
_3719_,18.54
_3727_,18.54
_2536_,18.52
_3931_,18.52
_3241_,18.5
_4102_,18.48
_2007_,18.475
_1364_,18.46
_1780_,18.44
_1131_,18.42
_0721_,18.38
_1910_,18.36
_0806_,18.34
_1579_,18.34
_3271_,18.34
_2680_,18.32
_3616_,18.32
_3627_,18.32
_1058_,18.3
_0961_,18.28
_3222_,18.28
sh2\[6\],18.28
sum1\[7\],18.275
_2812_,18.26
_4046_,18.24
_1252_,18.22
_1984_,18.22
_2657_,18.22
_1190_,18.18
_3243_,18.18
bit_sum2\[1\],18.18
_2823_,18.16
_4068_,18.16
_1796_,18.135
_3137_,18.1
_3921_,18.1
sum2\[6\],18.1
_0007_,18.08
_1869_,18.08
_3059_,18.08
_3826_,18.08
_3211_,18.06
_0759_,18.04
_1340_,18.04
_2972_,18.04
_2982_,18.04
_3671_,18.04
_0928_,18
_0977_,18
_1225_,18
_3949_,17.995
_2201_,17.98
_0091_,17.96
_3463_,17.96
_1878_,17.94
_3256_,17.94
_3350_,17.92
_0052_,17.9
_3074_,17.9
carry4\[7\],17.9
_1050_,17.88
_1521_,17.88
_3221_,17.88
_1450_,17.86
_3864_,17.86
_4095_,17.86
_3420_,17.82
_3330_,17.78
_3908_,17.78
_0096_,17.76
_1561_,17.76
_2456_,17.74
_1113_,17.72
_2596_,17.72
_0055_,17.68
net412,17.68
s4\[8\],17.66
_2184_,17.64
_0903_,17.62
_1053_,17.62
_3261_,17.62
net310,17.62
net112,17.6
_1320_,17.58
_1478_,17.575
_1737_,17.57
_3229_,17.57
_3188_,17.56
net248,17.56
_1049_,17.54
_3219_,17.54
_3273_,17.54
_3309_,17.54
_3514_,17.54
_3519_,17.54
_1600_,17.52
_1829_,17.52
_2006_,17.52
_2299_,17.52
_3013_,17.52
_1293_,17.5
_3227_,17.5
s3\[9\],17.48
_1885_,17.46
bit_sum2\[2\],17.46
_1887_,17.44
_2208_,17.44
_2357_,17.44
_1924_,17.42
_3575_,17.42
_1591_,17.4
_1905_,17.38
_1795_,17.36
_0097_,17.34
_3612_,17.34
_1087_,17.32
_2119_,17.32
_2729_,17.3
_2813_,17.28
_4051_,17.28
_1210_,17.26
_2628_,17.26
_2810_,17.26
_2961_,17.26
_3711_,17.26
_0751_,17.24
_3844_,17.24
net147,17.22
_0775_,17.2
_3308_,17.2
_1043_,17.18
_3873_,17.18
_1756_,17.16
_3923_,17.16
_1675_,17.12
_1768_,17.12
_2478_,17.12
_4174_,17.12
net137,17.105
_2511_,17.1
_1516_,17.08
_3204_,17.08
carry1\[9\],17.08
_3027_,17.04
_3962_,17.04
_1466_,17
_3160_,17
_3158_,16.98
_3513_,16.98
net301,16.98
_3173_,16.96
_2779_,16.94
_3373_,16.94
_3232_,16.92
_1622_,16.9
_2414_,16.9
_3089_,16.885
_0921_,16.88
_2609_,16.88
_3380_,16.86
_2440_,16.84
_3875_,16.84
_3133_,16.83
_1823_,16.82
_3664_,16.82
_3968_,16.82
_2278_,16.8
_2830_,16.8
_4170_,16.8
_1429_,16.78
_3162_,16.78
_3266_,16.78
_1606_,16.76
_3729_,16.76
net149,16.76
_3539_,16.74
_3783_,16.74
_0150_,16.72
_0777_,16.72
_0795_,16.72
_2384_,16.72
_1430_,16.715
_0851_,16.7
net162,16.685
_2959_,16.68
_0899_,16.66
_1126_,16.62
_1259_,16.62
_3177_,16.62
_3310_,16.62
_3825_,16.62
_1199_,16.6
_2698_,16.6
_2938_,16.6
sum4\[12\],16.58
_3728_,16.56
_1558_,16.55
_1392_,16.54
_1578_,16.54
_3926_,16.52
_1580_,16.48
_3714_,16.48
_2326_,16.46
_3141_,16.44
_2485_,16.42
_2740_,16.42
_3542_,16.42
s2\[9\],16.42
_0985_,16.4
carry5\[9\],16.38
clknet_leaf_48_clk,16.38
_0911_,16.36
_0931_,16.36
_1721_,16.36
s1\[9\],16.36
net191,16.36
_2565_,16.34
_3471_,16.34
_1436_,16.32
carry1\[8\],16.29
_1056_,16.28
_2266_,16.28
_3802_,16.28
carry1\[2\],16.27
_0915_,16.24
_2919_,16.24
_3932_,16.24
_4023_,16.24
_4175_,16.24
_1124_,16.23
_2129_,16.22
net347,16.22
_3579_,16.215
_0664_,16.2
_2633_,16.2
_3167_,16.18
_3395_,16.18
_3937_,16.18
_2413_,16.16
_1413_,16.14
_3580_,16.13
_2253_,16.12
_3880_,16.12
_2656_,16.1
_3644_,16.1
s0\[2\],16.1
_3024_,16.08
carry3\[6\],16.06
carry5\[5\],16.06
net63,16.06
_1435_,16.02
_2417_,16.02
_2486_,16.02
net293,16.02
_2134_,16
_2416_,16
_3001_,15.98
_0873_,15.96
_1109_,15.96
_0991_,15.94
_1608_,15.94
_3594_,15.94
s4\[10\],15.94
_2713_,15.92
_2807_,15.9
_1240_,15.88
_2124_,15.88
_3386_,15.875
_2216_,15.86
_2532_,15.86
_3185_,15.86
_1090_,15.84
sh13\[5\],15.84
sh10\[1\],15.82
_2146_,15.81
_2307_,15.8
_1680_,15.78
_1970_,15.78
_2356_,15.78
_1535_,15.76
_3526_,15.76
_3474_,15.75
_1206_,15.74
_2917_,15.74
_3099_,15.74
_1949_,15.7
_2323_,15.7
_3400_,15.7
_3676_,15.7
_0661_,15.695
_2658_,15.68
carry5\[8\],15.68
_1363_,15.66
_1786_,15.64
sum3\[12\],15.64
_4103_,15.6
_1078_,15.58
_1310_,15.58
_3789_,15.58
_3044_,15.56
_2865_,15.54
_0840_,15.52
_2549_,15.52
bit_sum3\[4\],15.52
net410,15.52
_3262_,15.47
_0852_,15.46
bit_sum7\[2\],15.46
_1494_,15.44
_2776_,15.44
_2979_,15.42
_3953_,15.42
_0729_,15.4
_0774_,15.4
_1603_,15.4
_3156_,15.4
_0847_,15.38
_0986_,15.38
_3051_,15.38
_2128_,15.375
_2019_,15.36
_0060_,15.34
_3805_,15.34
bit_sum5\[4\],15.34
net424,15.34
_1485_,15.32
_2957_,15.32
net258,15.32
_1244_,15.28
_3393_,15.26
net156,15.245
_2169_,15.24
_2233_,15.23
_1559_,15.22
_3764_,15.22
_4002_,15.2
_3352_,15.14
_1985_,15.12
_1753_,15.1
_4042_,15.1
_1335_,15.08
_2590_,15.08
_3989_,15.08
_3071_,15.075
_2483_,15.06
_3231_,15.06
_1176_,15.04
_1480_,15.04
_1528_,15.04
_2030_,15.04
_3785_,15.02
_0978_,15
_4186_,15
net153,15
_2147_,14.98
bit_sum1\[6\],14.96
net68,14.94
net269,14.94
_1313_,14.93
_0908_,14.92
_3315_,14.92
bit_sum6\[0\],14.92
net384,14.92
_1524_,14.91
_1529_,14.9
_1986_,14.9
_2009_,14.9
_2144_,14.9
_0789_,14.88
_0820_,14.88
_1511_,14.88
_1443_,14.86
_1482_,14.86
_1488_,14.86
_1566_,14.86
_3485_,14.86
_2857_,14.85
_2302_,14.84
_0868_,14.82
_1431_,14.82
_1814_,14.82
_3067_,14.82
_0872_,14.8
_2836_,14.8
_1014_,14.78
_3584_,14.78
_3633_,14.78
_3751_,14.775
_0771_,14.76
_1159_,14.76
_3390_,14.76
_3466_,14.76
_3763_,14.76
sum2\[4\],14.76
_1549_,14.74
_2805_,14.74
_0637_,14.72
_1211_,14.72
_1349_,14.72
carry2\[4\],14.72
_2243_,14.68
_2585_,14.68
_3467_,14.68
_0173_,14.66
_2984_,14.66
_1410_,14.64
_4039_,14.64
net279,14.58
net339,14.58
_1345_,14.575
_1420_,14.56
_2172_,14.56
_3486_,14.53
_0810_,14.52
carry3\[4\],14.52
sum5\[7\],14.52
_3993_,14.48
_3207_,14.46
_3705_,14.44
_0118_,14.42
_1973_,14.42
_2612_,14.42
_2969_,14.42
_3881_,14.42
_4006_,14.42
_3134_,14.4
_3234_,14.4
_1626_,14.36
_2937_,14.36
_2964_,14.36
_3668_,14.36
_4041_,14.36
_2454_,14.345
_3242_,14.34
_3585_,14.34
_1061_,14.32
_0842_,14.3
_4086_,14.3
_3054_,14.28
_3546_,14.28
_3884_,14.28
_1816_,14.26
_1959_,14.26
carry4\[9\],14.26
_0879_,14.22
_0089_,14.2
_0015_,14.18
sh3\[7\],14.18
_0956_,14.16
_1499_,14.16
_3689_,14.16
net50,14.16
_1118_,14.15
_0129_,14.14
_0838_,14.14
_1718_,14.14
_2081_,14.14
sum5\[13\],14.14
_3845_,14.135
_0042_,14.12
_1617_,14.12
_2214_,14.12
_2522_,14.12
_1175_,14.1
_1902_,14.1
_2434_,14.1
_2445_,14.1
_3131_,14.1
net337,14.085
_0130_,14.08
_3175_,14.08
net76,14.08
_1286_,14.06
_2377_,14.06
_3417_,14.06
_2579_,14.04
_3974_,14.04
_3583_,14.03
_2156_,14.02
_3201_,14.02
_3916_,14.02
_3941_,14.02
_3039_,14
_3811_,14
bit_sum5\[1\],14
net143,14
net223,14
_0922_,13.98
_1039_,13.965
s1\[8\],13.96
_0049_,13.94
_1361_,13.94
_3520_,13.94
_1138_,13.92
_2564_,13.92
carry1\[3\],13.92
_0648_,13.9
_1324_,13.9
_2474_,13.9
_2678_,13.9
net145,13.885
_1454_,13.88
_1583_,13.88
_2766_,13.88
_3465_,13.88
sum4\[14\],13.86
_3008_,13.855
_2281_,13.85
_2239_,13.84
_2399_,13.84
_2820_,13.84
_3813_,13.84
_4050_,13.82
carry2\[5\],13.82
_0878_,13.8
_2575_,13.8
bit_sum3\[8\],13.8
carry1\[6\],13.8
_2290_,13.78
_1594_,13.76
_3464_,13.76
_1894_,13.74
net417,13.74
_1778_,13.73
_1994_,13.73
_2499_,13.72
_2758_,13.72
sum5\[12\],13.72
_1157_,13.7
_2282_,13.68
_3104_,13.68
carry3\[5\],13.68
_0083_,13.66
_0156_,13.66
_3634_,13.66
_1081_,13.64
_1879_,13.64
_2583_,13.64
_1380_,13.62
_2854_,13.62
_4203_,13.62
_1337_,13.605
_1092_,13.6
_3556_,13.6
_0650_,13.58
_1260_,13.58
_1926_,13.58
_3599_,13.58
net338,13.58
_0823_,13.56
_1044_,13.56
_1537_,13.56
_2430_,13.56
_2497_,13.56
_0019_,13.54
_1366_,13.54
_3269_,13.54
_1236_,13.52
_1935_,13.52
_2210_,13.52
_3259_,13.52
_3956_,13.52
_3606_,13.505
_2576_,13.5
_4188_,13.5
bit_sum5\[2\],13.5
net344,13.5
_3413_,13.49
_4187_,13.49
_1596_,13.48
_1981_,13.48
_2988_,13.48
net290,13.48
_1036_,13.44
_2800_,13.44
